County,Population,Area (sq km),Population density (person/km^2),Median income,Biden won,Trump won,Never,Rarely,Sometimes,Frequently,Always,1_months_before_order deaths/cases percentage,1_months_after_order deaths/cases percentage,change in deaths/cases percentage,status of the change
Brazoria County,374264.0,3592.3161299999997,104.1845946893321,81447.0,0,1,0.021,0.042,0.075,0.17,0.691,0.8456659619450317,1.2148642210576468,0.36919825911261506,increase
Brazos County,229211.0,1517.73414,151.021838383368,49181.0,0,1,0.012,0.038,0.067,0.34700000000000003,0.537,0.7884362680683312,0.5876068376068376,-0.2008294304614936,decrease
Brewster County,9203.0,16039.80807,0.5737599826529596,47080.0,0,1,0.011000000000000001,0.012,0.077,0.172,0.728,0.7407407407407408,2.222222222222222,1.481481481481481,increase
Briscoe County,1546.0,2330.991,0.6632372239961458,40227.0,0,1,0.105,0.077,0.113,0.187,0.518,0.0,12.5,12.5,increase
Brooks County,7093.0,2442.36057,2.904157595370941,28333.0,1,0,0.061,0.004,0.166,0.09,0.6779999999999999,0.0,1.2195121951219512,1.2195121951219512,increase
Brown County,37864.0,2444.95056,15.48661172109754,48365.0,0,1,0.085,0.077,0.066,0.239,0.534,5.2631578947368425,1.4598540145985404,-3.8033038801383023,decrease
Burleson County,18443.0,1724.9333399999998,10.692007379253278,57731.0,0,1,0.02,0.07200000000000001,0.071,0.281,0.555,0.0,3.378378378378378,3.378378378378378,increase
Burnet County,48155.0,2577.04005,18.686166712853375,59492.0,0,1,0.031,0.039,0.055,0.19399999999999998,0.682,3.0927835051546393,0.9828009828009828,-2.1099825223536564,decrease
Caldwell County,43664.0,1414.13454,30.87683580658457,54152.0,0,1,0.001,0.001,0.063,0.185,0.7509999999999999,0.7142857142857143,2.9005524861878453,2.186266771902131,increase
Calhoun County,21290.0,1326.0748800000001,16.054900308495398,58776.0,0,1,0.019,0.027999999999999997,0.179,0.071,0.703,0.0,0.27548209366391185,0.27548209366391185,increase
Callahan County,13943.0,2328.40101,5.988229664957927,48651.0,0,1,0.049,0.06,0.11900000000000001,0.205,0.5670000000000001,12.5,4.166666666666666,-8.333333333333334,decrease
Cameron County,423163.0,2346.5309399999996,180.33557230658124,38758.0,1,0,0.035,0.061,0.034,0.055999999999999994,0.813,1.162079510703364,3.3947736817545495,2.2326941710511856,increase
Camp County,13094.0,512.81802,25.533424117974636,48207.0,0,1,0.017,0.064,0.213,0.235,0.47100000000000003,2.941176470588235,3.125,0.18382352941176494,increase
Carson County,5926.0,2390.56077,2.478916275364127,74872.0,0,1,0.099,0.064,0.124,0.252,0.462,0.0,0.0,0.0,no change
Cass County,30026.0,2429.41062,12.359376283618946,44848.0,0,1,0.034,0.145,0.17,0.209,0.441,16.666666666666664,4.464285714285714,-12.202380952380949,decrease
Castro County,7530.0,2325.81102,3.237580325851238,50142.0,0,1,0.057,0.051,0.043,0.29600000000000004,0.5529999999999999,0.0,2.4096385542168677,2.4096385542168677,increase
Chambers County,43837.0,1551.40401,28.25634052602455,91141.0,0,1,0.027000000000000003,0.094,0.078,0.201,0.6,0.8333333333333334,0.0,-0.8333333333333334,decrease
Cherokee County,52646.0,2724.66948,19.32197662374814,48186.0,0,1,0.12300000000000001,0.063,0.14800000000000002,0.192,0.475,0.0,0.3144654088050315,0.3144654088050315,increase
Childress County,7306.0,1838.8929,3.973042693242222,43181.0,0,1,0.147,0.124,0.18899999999999997,0.20600000000000002,0.33399999999999996,0.0,0.0,0.0,no change
